setting,seed,lambda,RR_held,Reg,CReg,method
lisa_signs/resnet50,101,4.0,0.5294117647058824,0.0026795284030010718,0.004267425320056899,DynaPatch
tt100k_signs/convnext_tiny,101,0.5,0.24770642201834864,0.0008212428141253764,0.0012132977432661976,DynaPatch
tt100k_signs/convnext_tiny,101,1.0,0.22935779816513763,0.0005474952094169176,0.0007279786459597186,DynaPatch
tt100k_signs/convnext_tiny,101,2.0,0.2018348623853211,0.0004106214070626882,0.000485319097306479,DynaPatch
tt100k_signs/convnext_tiny,101,4.0,0.1743119266055046,0.0001368738023542294,0.0,DynaPatch
tt100k_signs/densenet121,101,0.5,0.5256410256410257,0.0016771488469601676,0.001223391240518718,DynaPatch
tt100k_signs/densenet121,101,1.0,0.5256410256410257,0.0015373864430468203,0.0009787129924149743,DynaPatch
tt100k_signs/densenet121,101,2.0,0.5256410256410257,0.001397624039133473,0.0007340347443112308,DynaPatch
tt100k_signs/densenet121,101,4.0,0.5256410256410257,0.0008385744234800838,0.00024467824810374357,DynaPatch
tt100k_signs/resnet50,101,0.5,0.4186046511627907,0.0005523336095001381,0.00024348672997321646,DynaPatch
tt100k_signs/resnet50,101,1.0,0.4186046511627907,0.00027616680475006904,0.0,DynaPatch
tt100k_signs/resnet50,101,2.0,0.4186046511627907,0.00013808340237503452,0.0,DynaPatch
tt100k_signs/resnet50,101,4.0,0.375968992248062,0.0,0.0,DynaPatch
tt100k_signs/vgg16,101,0.5,0.28353658536585363,0.0011220196353436186,0.000970873786407767,DynaPatch
tt100k_signs/vgg16,101,1.0,0.2804878048780488,0.00042075736325385696,0.0004854368932038835,DynaPatch
tt100k_signs/vgg16,101,2.0,0.27134146341463417,0.00014025245441795232,0.00024271844660194174,DynaPatch
tt100k_signs/vgg16,101,4.0,0.25914634146341464,0.00014025245441795232,0.00024271844660194174,DynaPatch
gtsrb/convnext_tiny,202,0.5,0.8709677419354839,0.0005124525981346726,0.0005159958720330237,DynaPatch
gtsrb/convnext_tiny,202,1.0,0.8709677419354839,0.00040996207850773806,0.0005159958720330237,DynaPatch
gtsrb/convnext_tiny,202,2.0,0.8709677419354839,0.00030747155888080353,0.0005159958720330237,DynaPatch
gtsrb/convnext_tiny,202,4.0,0.8709677419354839,0.00010249051962693452,0.0,DynaPatch
gtsrb/densenet121,202,0.5,0.7710843373493976,0.00010028078620136381,0.0,DynaPatch
gtsrb/densenet121,202,1.0,0.7710843373493976,0.0,0.0,DynaPatch
gtsrb/densenet121,202,2.0,0.7710843373493976,0.0,0.0,DynaPatch
gtsrb/densenet121,202,4.0,0.7349397590361446,0.0,0.0,DynaPatch
gtsrb/resnet50,202,0.5,0.7083333333333334,0.0003989229081480004,0.0,DynaPatch
gtsrb/resnet50,202,1.0,0.7083333333333334,0.0003989229081480004,0.0,DynaPatch
gtsrb/resnet50,202,2.0,0.7083333333333334,0.0002991921811110003,0.0,DynaPatch
gtsrb/resnet50,202,4.0,0.7083333333333334,0.0001994614540740002,0.0,DynaPatch
gtsrb/vgg16,202,0.5,0.6105263157894737,0.0008162432404856647,0.0,DynaPatch
gtsrb/vgg16,202,1.0,0.6052631578947368,0.0007142128354249566,0.0,DynaPatch
gtsrb/vgg16,202,2.0,0.6,0.00040812162024283236,0.0,DynaPatch
gtsrb/vgg16,202,4.0,0.5894736842105263,0.00020406081012141618,0.0,DynaPatch
lisa_signs/densenet121,202,0.5,0.47058823529411764,0.0015839493136219642,0.004143646408839779,DynaPatch
lisa_signs/densenet121,202,1.0,0.4117647058823529,0.0010559662090813093,0.0027624309392265192,DynaPatch
lisa_signs/densenet121,202,2.0,0.35294117647058826,0.0010559662090813093,0.0027624309392265192,DynaPatch
lisa_signs/densenet121,202,4.0,0.35294117647058826,0.0005279831045406547,0.0013812154696132596,DynaPatch
lisa_signs/resnet50,202,0.5,0.5882352941176471,0.0026795284030010718,0.0028089887640449437,DynaPatch
lisa_signs/resnet50,202,1.0,0.5294117647058824,0.0005359056806002144,0.0014044943820224719,DynaPatch
lisa_signs/resnet50,202,2.0,0.4411764705882353,0.0,0.0,DynaPatch
lisa_signs/resnet50,202,4.0,0.4117647058823529,0.0,0.0,DynaPatch
lisa_signs/vgg16,202,0.5,0.3055555555555556,0.001609442060085837,0.0027359781121751026,DynaPatch
lisa_signs/vgg16,202,1.0,0.3055555555555556,0.000536480686695279,0.0013679890560875513,DynaPatch
lisa_signs/vgg16,202,2.0,0.2777777777777778,0.000536480686695279,0.0013679890560875513,DynaPatch
lisa_signs/vgg16,202,4.0,0.2777777777777778,0.0,0.0,DynaPatch
tt100k_signs/convnext_tiny,202,0.5,0.3486238532110092,0.0010949904188338351,0.0014552510308028135,DynaPatch
tt100k_signs/convnext_tiny,202,1.0,0.3440366972477064,0.0009581166164796058,0.001212709192335678,DynaPatch
tt100k_signs/convnext_tiny,202,2.0,0.3440366972477064,0.0004106214070626882,0.00024254183846713557,DynaPatch
tt100k_signs/convnext_tiny,202,4.0,0.3440366972477064,0.0004106214070626882,0.00024254183846713557,DynaPatch
tt100k_signs/densenet121,202,0.5,0.532051282051282,0.0005590496156533892,0.0004941932295527551,DynaPatch
tt100k_signs/densenet121,202,1.0,0.532051282051282,0.0005590496156533892,0.0004941932295527551,DynaPatch
tt100k_signs/densenet121,202,2.0,0.5224358974358975,0.0005590496156533892,0.0004941932295527551,DynaPatch
tt100k_signs/densenet121,202,4.0,0.5160256410256411,0.0005590496156533892,0.0004941932295527551,DynaPatch
tt100k_signs/resnet50,202,0.5,0.38372093023255816,0.00041425020712510354,0.0,DynaPatch
